Date,Open,High,Low,Close,Volume
1986-03-03,140.43,140.66,139.60,139.74,239200000
1986-03-04,139.74,141.77,139.70,140.54,270000000
1986-03-05,140.54,140.62,139.57,140.24,234800000
1986-03-06,140.24,141.35,140.17,140.80,240600000
1986-03-07,140.80,141.16,140.24,140.71,251200000
1986-03-10,140.71,142.58,140.71,142.43,225800000
1986-03-11,142.43,145.50,142.43,145.35,269600000
1986-03-12,145.35,147.32,145.34,146.62,309800000
1986-03-13,146.62,147.05,145.88,147.01,280200000
1986-03-14,147.01,147.45,146.55,147.00,304400000
1986-03-17,147.00,147.00,145.57,146.37,259000000
1986-03-18,146.37,147.82,146.12,147.62,279000000
1986-03-19,147.62,148.57,147.43,147.48,273800000
1986-03-20,147.48,148.54,147.27,147.80,302800000
1986-03-21,147.80,148.79,147.56,148.01,265800000
1986-03-24,148.01,148.15,146.21,147.09,219200000
1986-03-25,147.09,147.71,146.62,147.49,220000000
1986-03-26,147.49,147.57,146.74,147.26,254200000
1986-03-27,147.25,149.05,147.16,148.38,272800000
1986-03-31,148.38,149.21,147.89,148.86,219600000
1986-04-01,148.86,149.23,148.07,148.45,250600000
1986-04-02,148.45,148.94,147.10,148.92,239800000
1986-04-03,148.92,149.93,148.55,148.71,238000000
1986-04-04,148.71,148.79,146.94,147.04,223400000
1986-04-07,147.04,147.08,144.83,146.05,214800000
1986-04-08,146.05,148.95,146.05,148.93,235800000
1986-04-09,148.93,150.03,148.54,149.05,262000000
1986-04-10,149.05,151.77,149.05,151.76,257000000
1986-04-11,151.76,153.54,151.76,152.66,259400000
1986-04-14,152.66,153.98,152.49,153.93,236200000
1986-04-15,153.93,155.02,153.43,154.92,250200000
1986-04-16,154.92,158.98,154.92,158.90,297800000
1986-04-17,158.90,159.86,158.29,159.05,312000000
1986-04-18,157.38,159.15,157.35,157.66,289400000
1986-04-21,157.66,158.63,157.24,158.52,258200000
1986-04-22,157.35,159.47,157.35,157.86,290800000
1986-04-23,156.65,158.21,156.63,157.46,250000000
1986-04-24,157.46,160.16,157.46,159.85,286200000
1986-04-25,159.85,160.62,159.60,160.46,266600000
1986-04-28,160.46,160.95,159.14,159.90,220400000
1986-04-29,159.90,160.30,157.70,158.25,248600000
1986-04-30,158.25,158.40,154.79,154.91,242000000
1986-05-01,154.91,154.94,153.73,154.21,228600000
1986-05-02,154.21,155.59,154.21,155.01,205200000
1986-05-05,155.01,157.41,155.01,157.14,198380000
1986-05-06,157.14,158.09,156.85,157.12,217000000
1986-05-07,157.12,157.12,155.31,156.26,232000000
1986-05-08,156.26,157.53,156.18,157.16,221000000
1986-05-09,157.16,157.91,156.38,157.91,231800000
1986-05-12,157.91,158.26,157.36,157.75,203000000
1986-05-13,157.75,157.92,156.40,157.05,215200000
1986-05-14,157.05,157.82,156.54,157.01,223800000
1986-05-15,157.01,157.12,155.40,155.76,216000000
1986-05-16,155.76,155.86,154.39,154.99,207600000
1986-05-19,154.99,155.60,154.88,155.31,185460000
1986-05-20,155.31,157.05,155.00,157.01,233200000
1986-05-21,157.01,158.38,156.93,157.44,275000000
1986-05-22,157.44,159.68,157.26,159.63,287800000
1986-05-23,159.63,160.39,159.41,160.16,230200000
1986-05-27,160.16,161.21,159.94,161.18,223600000
1986-05-28,161.18,162.03,160.65,161.30,263000000
1986-05-29,161.30,161.82,160.29,161.62,260800000
1986-05-30,161.62,163.62,161.51,163.16,266000000
1986-06-02,163.16,163.98,162.00,162.03,221200000
1986-06-03,162.03,162.23,161.37,162.11,240600000
1986-06-04,162.11,163.09,161.40,161.82,245400000
1986-06-05,161.82,162.81,161.76,162.36,251200000
1986-06-06,162.36,162.90,161.88,161.88,241200000
1986-06-09,161.88,161.98,158.21,158.61,230000000
1986-06-10,158.60,158.70,157.18,158.10,239600000
1986-06-11,158.10,160.08,158.10,160.04,249800000
1986-06-12,160.04,161.04,159.95,160.37,260200000
1986-06-13,160.37,162.53,160.33,162.35,278600000
1986-06-16,162.35,162.93,160.62,160.80,236800000
1986-06-17,160.80,161.21,158.43,158.57,238200000
1986-06-18,158.57,158.66,156.87,158.48,250800000
1986-06-19,158.48,160.14,158.29,159.28,222600000
1986-06-20,159.28,159.71,158.29,159.59,255200000
1986-06-23,159.59,160.58,159.35,159.55,227000000
1986-06-24,159.55,161.10,159.43,160.80,225800000
1986-06-25,160.80,162.52,160.80,162.00,248400000
1986-06-26,162.00,162.26,161.38,161.72,276600000
1986-06-27,161.72,162.05,161.21,161.62,257000000
1986-06-30,161.62,163.07,161.54,162.62,242600000
1986-07-01,162.62,163.62,162.62,163.32,265600000
1986-07-02,163.32,164.20,163.32,163.96,272600000
1986-07-03,163.96,164.56,163.60,164.51,208000000
1986-07-07,164.51,164.54,157.59,157.62,224200000
1986-07-08,157.62,157.62,152.43,153.26,274400000
1986-07-09,153.26,155.65,153.17,155.41,240400000
1986-07-10,155.41,156.35,153.15,154.29,214600000
1986-07-11,154.29,154.45,152.73,152.85,209200000
1986-07-14,152.85,152.92,149.01,149.29,217200000
1986-07-15,149.29,149.29,145.32,146.26,265400000
1986-07-16,146.26,148.45,146.26,147.40,231600000
1986-07-17,147.40,148.75,147.26,148.46,224400000
1986-07-18,148.46,148.52,146.48,147.76,221800000
1986-07-21,147.76,147.95,146.79,147.07,163520000
1986-07-22,147.07,148.16,146.59,147.40,191700000
1986-07-23,147.40,148.01,147.12,147.18,203200000
1986-07-24,147.18,148.15,146.98,147.28,227000000
1986-07-25,147.28,148.41,147.28,148.26,190080000
1986-07-28,148.26,148.74,145.21,145.51,178260000
1986-07-29,145.51,145.57,144.04,144.21,195440000
1986-07-30,144.21,144.67,142.73,144.52,206200000
1986-07-31,144.59,145.61,144.57,144.71,197280000
1986-08-01,144.71,145.76,144.01,144.19,198740000
1986-08-04,144.19,144.19,141.65,142.52,162840000
1986-08-05,142.52,142.91,141.75,141.86,203800000
1986-08-06,141.86,141.86,140.30,140.54,187480000
1986-08-07,140.54,141.47,140.18,140.70,203200000
1986-08-08,140.70,142.55,140.70,142.29,200200000
1986-08-11,142.29,145.51,142.29,145.44,188300000
1986-08-12,145.44,147.32,145.44,147.06,221200000
1986-08-13,147.06,149.45,147.06,148.84,242600000
1986-08-14,148.84,150.14,148.62,149.99,221600000
1986-08-15,150.01,150.30,149.18,149.57,197540000
1986-08-18,149.57,150.07,148.83,149.07,170800000
1986-08-19,149.07,149.09,147.98,148.60,222800000
1986-08-20,148.60,149.90,148.46,149.76,227800000
1986-08-21,149.76,150.65,149.46,150.01,223800000
1986-08-22,150.01,151.26,149.69,150.95,202600000
1986-08-25,150.95,151.12,149.77,149.91,149600000
1986-08-26,149.91,151.23,149.88,151.15,197680000
1986-08-27,151.15,152.16,151.07,152.02,206000000
1986-08-28,152.02,152.30,151.35,152.04,210000000
1986-08-29,152.04,152.55,151.70,151.70,164500000
1986-09-02,151.70,152.07,149.15,149.34,195160000
1986-09-03,149.34,149.84,148.60,149.82,194000000
1986-09-04,149.82,151.73,149.79,151.40,205000000
1986-09-05,151.40,151.90,149.54,149.67,222800000
1986-09-08,149.67,149.67,146.35,146.55,194480000
1986-09-09,146.55,147.32,145.41,145.76,240200000
1986-09-10,145.76,145.76,144.57,144.74,231200000
1986-09-11,144.74,144.74,138.46,138.46,276200000
1986-09-12,138.46,138.62,134.85,135.04,279600000
1986-09-15,135.04,135.96,134.09,134.94,205800000
1986-09-16,134.94,135.25,133.28,135.21,209800000
1986-09-17,135.21,136.99,135.05,136.39,210400000
1986-09-18,136.39,138.57,136.29,138.13,199920000
1986-09-19,138.13,138.49,137.02,138.46,208000000
1986-09-22,138.52,140.29,138.35,140.12,178060000
1986-09-23,140.12,141.06,139.05,139.57,219000000
1986-09-24,139.57,140.07,138.66,139.24,196220000
1986-09-25,137.62,137.62,137.62,137.62,205000000
1986-09-26,137.62,138.12,136.49,137.59,169180000
1986-09-29,137.59,137.59,134.82,135.54,164740000
1986-09-30,135.54,137.84,135.54,137.49,201600000
1986-10-01,137.52,139.01,137.52,138.26,204000000
1986-10-02,138.26,138.43,137.40,138.22,183180000
1986-10-03,138.22,139.37,137.66,138.55,196500000
1986-10-06,138.65,139.19,138.39,139.12,150900000
1986-10-07,139.12,139.24,137.91,138.26,172160000
1986-10-08,138.26,139.33,137.54,139.26,180080000
1986-10-09,139.24,140.15,139.03,139.16,187760000
1986-10-10,139.16,140.21,138.76,139.87,167180000
1986-10-13,139.87,140.71,139.62,140.68,91060000
1986-10-14,140.68,141.60,140.66,140.96,184480000
1986-10-15,140.96,142.22,140.76,142.10,206000000
1986-10-16,142.10,142.48,141.76,141.90,127660000
1986-10-17,141.88,142.10,140.90,141.20,183960000
1986-10-20,141.20,141.23,139.49,140.10,156920000
1986-10-21,140.10,140.47,139.38,139.93,177100000
1986-10-22,139.93,140.59,139.90,140.30,196220000
1986-10-23,140.30,142.40,140.23,142.15,246400000
1986-10-24,142.15,142.75,141.65,141.96,229000000
1986-10-27,141.96,142.26,141.26,141.76,187820000
1986-10-28,141.76,142.90,141.68,142.49,204800000
1986-10-29,142.49,143.28,142.12,143.13,212200000
1986-10-30,143.13,145.18,143.13,144.78,247000000
1986-10-31,144.78,145.18,143.79,144.48,213400000
1986-11-03,144.48,144.97,144.12,144.81,222400000
1986-11-04,144.81,146.05,144.54,145.96,280600000
1986-11-05,145.96,146.68,145.51,146.18,334400000
1986-11-06,146.18,146.23,144.64,145.41,224600000
1986-11-07,145.41,145.41,144.40,144.91,198640000
1986-11-10,144.91,145.05,143.70,144.29,201600000
1986-11-11,144.29,145.45,144.29,145.35,194660000
1986-11-12,145.35,145.91,145.02,145.58,216000000
1986-11-13,145.58,145.68,143.40,143.41,230600000
1986-11-14,143.41,143.78,142.86,143.51,204400000
1986-11-17,143.51,144.02,142.14,143.20,182620000
1986-11-18,143.20,143.68,140.62,140.66,236800000
1986-11-19,140.66,140.66,138.96,139.54,222400000
1986-11-20,139.54,141.43,139.54,141.31,229000000
1986-11-21,141.31,143.05,141.31,142.90,213600000
1986-11-24,142.90,144.63,142.77,144.49,193720000
1986-11-25,144.49,145.77,144.35,145.77,227600000
1986-11-26,145.77,146.95,145.59,146.87,212000000
1986-11-28,146.87,147.96,146.87,147.94,123900000
1986-12-01,147.94,147.94,145.63,146.85,195660000
1986-12-02,146.85,148.99,146.85,148.87,261800000
1986-12-03,148.87,150.71,148.87,150.08,268800000
1986-12-04,150.09,150.85,149.84,149.98,256000000
1986-12-05,149.98,150.38,148.70,149.04,266600000
1986-12-08,149.04,149.04,146.85,147.85,221200000
1986-12-09,147.85,147.85,146.82,146.87,232600000
1986-12-10,146.87,147.32,146.40,146.96,230400000
1986-12-11,146.96,147.40,145.63,146.08,247600000
1986-12-12,146.07,146.07,144.75,144.98,216800000
1986-12-15,144.98,144.98,142.85,144.07,230600000
1986-12-16,144.07,144.60,143.61,144.49,284600000
1986-12-17,144.49,144.49,142.91,143.04,254800000
1986-12-18,143.04,143.49,142.54,142.85,266000000
1986-12-19,142.85,144.07,142.82,143.77,258000000
1986-12-22,143.77,144.39,143.24,144.09,239600000
1986-12-23,144.09,144.24,142.40,142.80,296200000
1986-12-24,142.80,143.16,142.32,142.79,164240000
1986-12-26,142.79,143.08,142.50,142.93,88080000
1986-12-29,142.93,143.04,141.38,141.51,204000000
1986-12-30,141.51,141.79,140.95,141.52,252800000
1986-12-31,141.52,142.12,141.04,141.40,281400000
1987-01-02,141.40,143.01,141.40,142.86,126440000
1987-01-05,142.86,147.64,142.86,147.40,221200000
1987-01-06,147.40,149.08,147.40,149.06,275800000
1987-01-07,149.06,153.09,149.06,152.98,309000000
1987-01-08,152.98,155.70,152.98,155.69,315800000
1987-01-09,155.69,157.38,155.11,156.99,287600000
1987-01-12,156.99,159.43,156.60,159.30,305800000
1987-01-13,159.30,159.85,158.38,159.62,286800000
1987-01-14,159.62,162.67,159.62,162.66,344800000
1987-01-15,162.66,165.05,162.66,164.15,379000000
1987-01-16,164.15,164.17,161.63,162.51,312400000
1987-01-19,162.51,166.46,161.71,166.46,268000000
1987-01-20,166.46,168.35,166.02,166.52,365600000
1987-01-21,166.52,166.52,164.14,164.26,313000000
1987-01-22,164.26,168.01,163.45,167.95,325200000
1987-01-23,167.95,170.27,166.62,166.76,523800000
1987-01-26,166.76,166.76,163.88,164.14,231400000
1987-01-27,164.14,167.32,164.07,166.65,261800000
1987-01-28,166.65,167.77,165.99,167.62,305800000
1987-01-29,167.62,168.88,165.11,165.74,301400000
1987-01-30,165.71,166.77,164.34,166.68,308600000
1987-02-02,166.71,170.32,166.58,170.30,298200000
1987-02-03,170.30,171.73,170.30,171.55,344200000
1987-02-04,171.55,173.68,170.68,173.50,356200000
1987-02-05,173.50,175.43,173.46,174.63,372800000
1987-02-06,174.34,175.49,174.34,174.63,334600000
1987-02-09,173.23,174.63,173.23,173.62,278200000
1987-02-10,173.62,173.74,171.24,172.32,286400000
1987-02-11,172.32,176.12,172.32,175.98,299000000
1987-02-12,175.99,177.05,175.76,176.26,336000000
1987-02-13,176.26,179.30,175.76,179.07,309000000
1987-02-17,179.07,183.68,179.07,183.65,344000000
1987-02-18,183.65,184.73,180.41,181.21,390800000
1987-02-19,181.21,181.38,178.90,179.87,326400000
1987-02-20,179.87,179.90,178.00,178.68,311400000
1987-02-23,178.68,178.74,175.18,177.71,280200000
1987-02-24,177.71,179.29,176.99,178.94,266400000
1987-02-25,178.94,181.05,178.92,180.97,316000000
1987-02-26,180.97,183.36,180.60,182.18,310800000
1987-02-27,182.18,182.91,181.58,182.75,298800000
1987-03-02,182.75,183.38,180.99,181.07,269200000
1987-03-03,181.07,181.66,179.87,180.57,279800000
1987-03-04,180.57,183.55,180.56,183.27,311400000
1987-03-05,183.27,185.74,183.27,184.67,340800000
1987-03-06,184.67,184.80,183.40,184.29,297200000
1987-03-09,184.29,184.29,181.29,182.48,237800000
1987-03-10,182.48,184.76,182.31,184.46,282600000
1987-03-11,184.46,186.43,184.46,185.31,311600000
1987-03-12,185.31,185.33,184.12,184.77,312800000
1987-03-13,184.77,185.45,182.90,183.16,316600000
1987-03-16,183.16,183.16,181.42,182.73,262600000
1987-03-17,182.73,185.90,182.73,185.90,307800000
1987-03-18,185.90,187.98,185.13,186.04,321800000
1987-03-19,186.04,188.10,185.87,187.96,302000000
1987-03-20,187.96,190.43,187.96,189.82,345800000
1987-03-23,189.82,190.37,188.55,189.40,292600000
1987-03-24,189.40,190.33,188.49,190.18,330200000
1987-03-25,190.18,190.52,188.90,190.20,306000000
1987-03-26,190.20,191.37,190.20,190.71,312200000
1987-03-27,190.71,191.74,188.88,189.05,304800000
1987-03-30,189.05,189.05,183.27,183.84,283400000
1987-03-31,183.84,186.26,183.80,186.04,281000000
1987-04-01,186.04,186.10,182.57,186.07,286600000
1987-04-02,186.07,188.04,186.07,187.66,300400000
1987-04-03,179.82,191.43,179.82,191.36,341000000
1987-04-06,191.36,192.46,189.66,190.91,301400000
1987-04-07,190.91,190.96,187.43,187.43,338200000
1987-04-08,187.43,189.97,187.43,189.28,307400000
1987-04-09,189.28,189.51,187.18,188.73,317600000
1987-04-10,188.73,189.04,187.74,188.29,296600000
1987-04-13,188.29,188.29,183.90,183.95,269800000
1987-04-14,183.95,183.95,179.02,179.73,330800000
1987-04-15,179.73,182.46,179.73,182.46,291800000
1987-04-16,182.46,185.07,182.46,183.74,278000000
1987-04-20,183.74,184.38,181.68,182.12,220600000
1987-04-21,182.12,184.76,180.18,184.63,261800000
1987-04-22,184.63,185.68,183.96,183.96,266600000
1987-04-23,183.96,185.07,182.96,183.77,276200000
1987-04-24,183.77,183.77,180.27,180.38,261400000
1987-04-27,180.38,180.38,177.51,179.55,275400000
1987-04-28,179.55,182.05,179.55,181.26,260400000
1987-04-29,181.26,183.72,181.26,182.22,282000000
1987-04-30,182.22,185.88,182.22,184.83,290000000
1987-05-01,184.83,186.17,184.29,185.83,368600000
1987-05-04,185.83,186.74,185.01,186.45,244400000
1987-05-05,186.45,189.99,186.45,189.74,290600000
1987-05-06,189.74,190.51,188.68,189.29,348000000
1987-05-07,189.29,190.59,189.29,190.01,303600000
1987-05-08,190.01,191.42,189.52,190.36,273800000
1987-05-11,190.36,191.70,189.24,189.24,273400000
1987-05-12,189.24,189.35,187.46,188.98,282600000
1987-05-13,188.98,190.46,188.98,190.29,272200000
1987-05-14,190.29,191.16,190.21,190.74,277000000
1987-05-15,190.74,190.74,187.91,187.91,291400000
1987-05-18,187.91,188.12,183.33,185.46,258800000
1987-05-19,185.46,185.93,181.00,181.46,294200000
1987-05-20,181.46,182.72,179.74,181.70,291200000
1987-05-21,181.70,183.57,181.70,182.66,274200000
1987-05-22,182.66,183.54,181.27,181.64,225400000
1987-05-26,181.64,185.19,181.64,185.17,225600000
1987-05-27,185.17,186.51,185.07,185.96,243000000
1987-05-28,185.96,188.21,185.85,188.11,261800000
1987-05-29,188.11,189.83,188.11,188.77,267600000
1987-06-01,188.77,189.15,185.54,185.86,266200000
1987-06-02,185.86,186.18,184.44,184.50,260400000
1987-06-03,184.50,186.40,184.50,185.76,282000000
1987-06-04,185.76,186.47,185.21,186.26,304000000
1987-06-05,186.26,186.86,185.49,185.68,352400000
1987-06-08,185.68,187.65,185.01,187.54,234000000
1987-06-09,187.54,189.62,187.54,189.48,278600000
1987-06-10,189.48,191.84,189.35,190.02,345400000
1987-06-11,190.02,190.73,188.85,189.66,305200000
1987-06-12,189.66,191.26,189.66,190.36,322400000
1987-06-15,190.36,191.05,189.28,189.60,311000000
1987-06-16,189.60,191.29,188.63,191.14,341200000
1987-06-17,191.14,192.15,190.74,191.32,342000000
1987-06-18,191.32,192.78,190.15,192.37,317000000
1987-06-19,192.37,193.20,191.30,192.05,307200000
1987-06-22,192.05,193.04,192.00,192.90,265400000
1987-06-23,192.90,193.27,191.07,191.84,308600000
1987-06-24,191.84,193.36,191.57,191.90,280600000
1987-06-25,191.90,192.87,191.23,191.35,299600000
1987-06-26,191.35,191.45,189.32,191.06,291400000
1987-06-29,191.06,191.29,190.38,190.70,246400000
1987-06-30,190.70,191.10,188.35,189.24,288800000
1987-07-01,189.24,190.16,188.88,189.48,427600000
1987-07-02,189.54,190.95,189.54,190.38,372000000
1987-07-06,190.38,191.17,188.73,189.02,278800000
1987-07-07,189.02,189.02,187.40,187.76,391000000
1987-07-08,187.76,188.38,186.57,187.38,389800000
1987-07-09,187.38,189.40,187.35,187.98,306200000
1987-07-10,187.98,188.94,187.79,188.74,263800000
1987-07-13,188.74,190.42,188.06,190.42,254600000
1987-07-14,190.42,194.99,190.42,194.99,320400000
1987-07-15,194.99,196.04,193.70,194.87,307800000
1987-07-16,194.87,196.35,194.83,196.04,317200000
1987-07-17,196.04,197.30,195.31,195.87,305800000
1987-07-20,195.87,195.87,193.77,193.86,260600000
1987-07-21,193.86,194.91,192.83,193.20,312400000
1987-07-22,193.20,193.82,192.57,193.63,308200000
1987-07-23,193.63,193.88,190.46,191.51,306800000
1987-07-24,191.51,193.12,191.49,193.02,294600000
1987-07-27,193.02,193.37,191.99,193.20,224000000
1987-07-28,193.20,194.24,193.20,193.76,251800000
1987-07-29,193.76,194.85,193.59,194.73,272000000
1987-07-30,194.73,196.75,194.60,196.57,308400000
1987-07-31,196.57,197.12,195.83,196.35,285200000
1987-08-03,196.35,196.71,194.59,195.24,267000000
1987-08-04,195.24,195.99,194.10,195.88,280800000
1987-08-05,195.88,198.62,195.88,198.24,303600000
1987-08-06,198.24,201.91,198.05,201.87,299400000
1987-08-07,201.87,204.71,201.87,203.73,330600000
1987-08-10,203.73,206.06,203.10,206.03,261600000
1987-08-11,206.03,208.46,206.03,208.39,370800000
1987-08-12,208.39,208.59,206.79,207.06,344200000
1987-08-13,207.06,207.60,206.14,206.47,320400000
1987-08-14,206.47,206.99,205.31,206.46,295400000
1987-08-17,206.46,207.13,205.63,206.83,252600000
1987-08-18,206.83,206.87,203.31,203.90,295000000
1987-08-19,203.90,205.39,203.35,205.39,268200000
1987-08-20,205.39,208.98,205.37,208.93,316400000
1987-08-21,208.93,210.71,208.88,210.57,332400000
1987-08-24,210.57,210.57,208.77,209.48,288800000
1987-08-25,209.48,211.56,209.48,210.71,289200000
1987-08-26,210.71,211.90,210.50,211.16,302600000
1987-08-27,211.16,212.16,210.24,210.63,279400000
1987-08-28,210.63,211.02,208.85,208.85,307800000
1987-08-31,208.85,209.75,207.65,209.57,265800000
1987-09-01,209.57,210.78,206.88,206.89,347600000
1987-09-02,206.89,207.36,204.22,205.73,291000000
1987-09-03,205.73,207.49,203.68,205.01,294200000
1987-09-04,205.01,205.85,203.92,204.06,263200000
1987-09-08,204.06,204.11,197.43,199.90,291000000
1987-09-09,199.90,201.99,199.83,201.60,268600000
1987-09-10,201.60,205.35,201.60,205.16,316600000
1987-09-11,205.16,206.90,204.95,206.37,316400000
1987-09-14,206.37,207.07,204.34,205.16,260600000
1987-09-15,205.16,205.16,201.68,202.26,271000000
1987-09-16,202.26,203.44,201.24,201.30,283600000
1987-09-17,201.30,202.24,200.71,202.05,309200000
1987-09-18,202.05,202.96,201.15,201.68,302800000
1987-09-21,201.68,202.22,197.24,197.26,307800000
1987-09-22,197.26,201.46,196.13,201.43,314400000
1987-09-23,201.43,204.14,201.43,204.07,336600000
1987-09-24,204.07,206.18,203.74,204.64,242400000
1987-09-25,204.64,205.66,204.05,205.12,259600000
1987-09-28,205.12,206.86,204.35,204.62,274000000
1987-09-29,204.62,205.12,203.76,204.15,310200000
1987-09-30,204.15,205.70,203.68,205.51,325000000
1987-10-01,205.51,209.73,205.51,209.71,329600000
1987-10-02,209.71,212.23,209.71,212.15,326600000
1987-10-05,212.15,213.83,211.41,213.81,291400000
1987-10-06,213.81,214.03,208.07,208.07,317000000
1987-10-07,208.07,208.07,205.09,206.89,304000000
1987-10-08,206.89,207.62,202.49,203.62,315600000
1987-10-09,203.62,205.12,202.14,202.46,290600000
1987-10-12,202.46,202.46,197.85,199.62,235600000
1987-10-13,199.62,202.05,199.01,201.23,263600000
1987-10-14,201.23,201.24,196.39,197.49,291200000
1987-10-15,197.49,197.49,192.85,193.07,319600000
